Abholos|Devourer in the Mist
Ammutseba|Devourer of Stars
Aphoom-Zhah|The Cold Flame
Apocolothoth|The Moon God
Arwassa|The Silent Shouter on the Hill
Aylith|The Widow in the Woods
Baoht Z'uqqa-Mogg|The Bringer of Pestilence
Bugg-Shash|The Black One
Byagoona|The Faceless Ones
Byatis|The Berkeley Toad
Chaugnar Faugn|The Horror from the Hills
Crom Cruach|Master of the Runes
Cthaat|The Dark Water God
Cthugha|The Living Flame
Cthylla|Secret Daughter of Cthulhu
Ctoggha|The Dream-Daemon
Cynothoglys|The Mortician God
Dhumin|The Burrower from the Bluff
Dygra|The Stone-Thing
Dythalla|Lord of Lizards
Eihort|The Pale Beast
Ei'lor|The Star-Seed
Ghadamon|A Seed of Azathoth
Ghatanothoa|Lord of the Volcano
Ghisguth|The Sound of Deep Waters
Gi-Hoveg|The Aether Anemone
Gla'aki|The Inhabitant of the Lake
Gleeth|The Blind God of the Moon
Gloon|The Corrupter of Flesh
Gobogeg|The Twice-Invoked
Gog-Hoor|Eater of the Insane
The Green God|The Horror Under Warrendown
Gtuhanai|The Destroyer God of the Aartnna
Gurathnaka|Eater of Dreams
Gur'la-ya|Lurker in the Doom-laden Shadows
Han|The Dark One
Hastalÿk|The Contagion
Hastur|The Unspeakable
Haiogh-Yai|The Outsider
Hnarqu|The Great One
Hziulquoigmnzhah|The God of Cykranosh
Inpesca|The Sea Horror
Iod|The Shining Hunter
Istasha|Mistress of Darkness
Ithaqua|The Wind Walker
Janai'ngo|Guardian and the Key of the Watery Gates
Juk-Shabb|God of Yekub
Kaalut|The Ravenous One
Khal'kru|All-in-All
K'nar'st|Spawn of the Forgotten
Krang|The Dead One
Kthaw'keth|The Supreme Unknown
Lam|The Grey
Lexur'iga-serr'roth|He Who Devours All in the Dark
Lythalia|The Forest-Goddess
Mappo no Ryujin|Harbinger of Doom
M'basui Gwandu|The River Abomination
M'Nagalah|The Devourer
Mnomquah|Lord of the Black Lake
Mormo|The Thousand-Faced Moon
Mortllgh|Storm of Steel
Northot|The Forgotten God
Nssu-Ghahnb|The Heart of the Ages
Nug and Yeb|The Twin Blasphemies
Nyaghoggua|The Kraken Within
Nyogtha|The Thing which Should Not Be
Ob'mbu|The Shatterer
Oorn|Mnomquah's Mate
Othuum|The Oceanic Horror
Othuyeg|The Doom-Walker
Pharol|Pharol the Black
Psuchawrl|The Elder One
Quachil Uttaus|Treader of the Dust
Q'yth-az|The Crystalloid Intellect
Ragnalla|Seeker in the Skies
Raphanasuan|The One from the Sun Race
Rhagorthua|Father of All Winds
Rhan-Tegoth|Terror of the Hominids
Rhogog|The Bearer of the Cup of the Blood of the Ancients
Sedmelluq|The Great Manipulator
Sfatlicllp|The Fallen Wisdom
Shaklatal|The Eye of Wicked Sight
Shathak|Mistress of the Abyssal Slime
Sheb-Teth|Devourer of Souls
Sho-Gath|The God in the Box
Shterot|The Tenebrous One
Shudde M'ell|The Burrower Beneath
Shuy-Nihl|The Devourer in the Earth
Sthanee|The Lost One
S'tya-Yg'Nalle|The Whiteness
Summanus|Monarch of the Night
Thanaroa|The Shining One
Tharapithia|The Shadow in the Crimson Light
Thasaidon|Master of the Endless Void
Th'rygh|The God-Beast
Tsathoggua|The Sleeper of N'kai
Tulushuggua|The Watery Dweller Beneath
Turua|Father of the Swamps
Ut'Ulls-Hr'Her|The Great Horned Mother
Vhuzompha|Mother and Father to All Marine Life
Vibur|The Thing from Beyond
Volgna-Gath|Keeper of Secrets
Vulthoom|The Sleeper of Ravermos
Xinlurgash|The Ever-Consuming
Xirdneth|Maker of Illusions
Xitalu|Being of Higher Dimension
Xotli|Lord of Terror
Yegg-Ha|The Faceless One
Y'golonac|The Defiler
Yhashtur|The Worm-God of the Lords of Thule
'Ymnar|The Dark Stalker
Yog-Sapha|The Dweller of the Depths
Yorith|The Oldest Dreamer
Ysbaddaden|Chief of the Giants
Ythogtha|The Thing in the Pit
Yug-Siturath|The All-Consuming Fog
Zathog|The Black Lord of Whirling Vortices
Zhar and Lloigor|The Twin Obscenities
Zindarak|The Fiery Messenger
Zoth-Ommog|The Dweller in the Depths
Zstylzhemghi|Matriarch of Swarms
Zushakon|Dark Silent One
Zvilpogghua|Feaster from the Stars
